ID,Name,Email,Phone,Date,Category,Value,City,Country,Company,Job_Title,Payment_Method,Product,Quantity,Total_Cost
7483,Jessica Wood,steven68@example.org,(271)469-4594,2025-01-09,B,610,Martinezshire,Kenya,Castillo-Parker,IT sales professional,Credit Card,Product B,6,1389.09
6309,Tina Harris,michael11@example.net,+1-885-790-2627x179,2025-01-06,C,944,West Tyler,Jordan,Sanders PLC,Nutritional therapist,Credit Card,Product A,6,1710.91
5850,Jared Hernandez,scott53@example.com,9848607801,2025-01-06,A,976,Tammyland,United States Minor Outlying Islands,Vega Group,"Editor, commissioning",Credit Card,Product A,1,937.52
5371,Cole Morris,casey78@example.com,397.430.8631x980,2025-01-09,A,469,Jasonview,Equatorial Guinea,"Franklin, Scott and Velez",Quantity surveyor,Bank Transfer,Product C,10,155.65
6896,Joshua Curtis,joelsanders@example.org,+1-749-890-2492x357,2025-01-03,D,432,Juliechester,Malawi,Matthews-Pitts,Adult guidance worker,PayPal,Product B,2,4315.69
5885,Danny Collier,tmontgomery@example.org,001-735-695-1899x25512,2025-01-03,C,741,Hallview,Mauritania,"Hanson, Glass and Avila",Building control surveyor,Bank Transfer,Product D,9,3864.98
3405,Samuel Lewis,matthewowen@example.net,269.397.3939,2025-01-05,B,416,Port Brianastad,Nepal,Conrad-Mason,Claims inspector/assessor,Bank Transfer,Product A,10,4469.36
2368,Jamie Olsen,iford@example.net,+1-881-795-3384x83971,2025-01-10,D,575,North Erin,Lesotho,Cook Group,Ecologist,PayPal,Product B,5,4700.31
8764,Corey Gould,michael71@example.org,001-709-251-9462x964,2025-01-10,C,242,South Christie,Botswana,"White, Stewart and Davis",Publishing copy,Bank Transfer,Product D,6,588.7
7086,Seth Wolf,jeffreyguzman@example.org,+1-242-780-5717,2025-01-09,A,278,Villastad,Russian Federation,Singh-Jimenez,Education administrator,Bank Transfer,Product C,5,4899.69
3084,Joseph Carroll,thompsonstephanie@example.net,(619)293-3933x11149,2025-01-09,D,115,North Seanside,Egypt,Scott-Jackson,"Education officer, community",Credit Card,Product D,7,4210.26
